Sun May 26 10:46:40 2024    profile_output

         35856598 function calls (35200488 primitive calls) in 51.988 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7434    0.005    0.000    0.792    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/arraylike.py:76(__or__)
     7434    0.026    0.000    0.787    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/series.py:6123(_logical_method)
     3987    0.007    0.000    0.776    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/zmq/eventloop/zmqstream.py:557(_run_callback)
     5133    0.016    0.000    0.760    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/reshape/concat.py:699(new_axes)
      389    0.016    0.000    0.758    0.002 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/xgboost/data.py:400(pandas_cat_null)
     9593    0.031    0.000    0.738    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/indexing.py:1176(__getitem__)
    22491    0.075    0.000    0.734    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/xgboost/data.py:368(is_pd_cat_dtype)
    11505    0.029    0.000    0.724    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/frame.py:4481(_set_item_mgr)
     1062    0.005    0.000    0.718    0.001 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/ipykernel/iostream.py:592(flush)
     7627    0.022    0.000    0.715    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/contextlib.py:78(inner)
    25912    0.069    0.000    0.711    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/internals/managers.py:1782(_consolidate_inplace)
     1451    0.010    0.000    0.655    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/generic.py:4027(take)
   813096    0.291    0.000    0.654    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/dtypes/generic.py:42(_instancecheck)
    11256    0.045    0.000    0.641    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/series.py:1095(__getitem__)
     7434    0.017    0.000    0.637    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/internals/base.py:196(where)
      389    0.032    0.000    0.634    0.002 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/xgboost/data.py:311(pandas_feature_info)
     3987    0.009    0.000    0.629    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/ipykernel/iostream.py:157(_handle_event)
     7627    0.604    0.000    0.604    0.000 {function SeedSequence.generate_state at 0x742c8073a0c0}
     1097    0.004    0.000    0.591    0.001 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/generic.py:4142(_take_with_is_copy)
   207072    0.588    0.000    0.588    0.000 {method 'choose' of 'numpy.ndarray' objects}
     1451    0.007    0.000    0.579    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/internals/managers.py:869(take)
1871333/1347622    0.430    0.000    0.578    0.000 {built-in method builtins.len}
     5133    0.015    0.000    0.576    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/internals/concat.py:94(concatenate_managers)
      708    0.001    0.000    0.545    0.001 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/tqdm/std.py:451(fp_write)
    11151    0.026    0.000    0.541    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/frame.py:4470(_iset_item_mgr)
    46833    0.071    0.000    0.538    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/generic.py:807(_set_axis)
     2513    0.020    0.000    0.522    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/indexes/base.py:6186(_get_indexer_strict)
      177    0.009    0.000    0.499    0.003 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/copulas/multivariate/gaussian.py:50(_transform_to_normal)
      531    0.002    0.000    0.498    0.001 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/tqdm/std.py:1325(refresh)
     8319    0.029    0.000    0.497    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/generic.py:6463(astype)
     4814    0.033    0.000    0.496    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/internals/managers.py:2259(_consolidate)
    11151    0.152    0.000    0.495    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/internals/managers.py:1066(iset)
  1923280    0.471    0.000    0.495    0.000 {built-in method builtins.getattr}
    11328    0.012    0.000    0.485    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/dtypes/missing.py:380(notna)
     8496    0.027    0.000    0.477    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/generic.py:5343(reindex)
     4283    0.048    0.000    0.475    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/internals/construction.py:237(ndarray_to_mgr)
     3717    0.006    0.000    0.475    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/series.py:5786(notna)
     3717    0.010    0.000    0.468    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/generic.py:8760(notna)
     3044    0.146    0.000    0.464    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/scipy/stats/_distn_infrastructure.py:2044(cdf)
   114943    0.107    0.000    0.462    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/generic.py:339(_from_mgr)
    67083    0.085    0.000    0.460    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/series.py:664(_constructor_from_mgr)
     5133    0.004    0.000    0.459    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/series.py:5773(isna)
     5133    0.008    0.000    0.455    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/generic.py:8693(isna)
     6726    0.047    0.000    0.452    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/indexes/base.py:674(_with_infer)
     4071    0.004    0.000    0.445    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/arraylike.py:50(__le__)
      177    0.010    0.000    0.443    0.003 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/copulas/multivariate/gaussian.py:174(_get_conditional_distribution)
   158483    0.369    0.000    0.442    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/generic.py:278(__init__)
     7497    0.033    0.000    0.442    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/xgboost/data.py:345(is_nullable_dtype)
      177    0.009    0.000    0.436    0.002 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/sdv/single_table/base.py:471(_filter_conditions)
      177    0.003    0.000    0.433    0.002 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/tqdm/std.py:952(__init__)
     4425    0.007    0.000    0.425    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/rdt/transformers/base.py:277(_get_columns_data)
     5133    0.013    0.000    0.423    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/reshape/concat.py:717(_get_concat_axis)
31646/31292    0.060    0.000    0.416    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/array_algos/take.py:59(take_nd)
     3717    0.004    0.000    0.408    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/arraylike.py:58(__ge__)
    21948    0.047    0.000    0.404    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/frame.py:4608(_box_col_values)
     4602    0.006    0.000    0.402    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/reshape/concat.py:777(_concat_indexes)
      708    0.003    0.000    0.400    0.001 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/groupby/ops.py:607(get_iterator)
     4602    0.017    0.000    0.396    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/indexes/base.py:5455(append)
     7788    0.048    0.000    0.391    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/generic.py:7142(fillna)
    14230    0.008    0.000    0.382    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/indexes/base.py:6679(_maybe_cast_listlike_indexer)
    92278    0.250    0.000    0.380    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/numpy/core/numeric.py:274(full)
     4425    0.011    0.000    0.374    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/indexes/base.py:5491(_concat)
     8142    0.018    0.000    0.369    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/series.py:5136(reindex)
      708    0.001    0.000    0.350    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/copulas/univariate/base.py:315(cdf)
     8885    0.013    0.000    0.349    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/indexing.py:1719(_getitem_axis)
    36213    0.109    0.000    0.347    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/internals/managers.py:1863(from_array)
   813096    0.234    0.000    0.347    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/dtypes/generic.py:37(_check)
    31292    0.203    0.000    0.336    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/array_algos/take.py:120(_take_nd_ndarray)
119755/111613    0.097    0.000    0.330    0.000 {built-in method builtins.all}
      708    0.006    0.000    0.327    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/indexing.py:1365(_getitem_tuple)
273335/266220    0.162    0.000    0.323    0.000 {built-in method numpy.asarray}
    58666    0.123    0.000    0.322    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/numpy/core/_dtype.py:346(_name_get)
    56568    0.114    0.000    0.320    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/generic.py:6284(__getattr__)
     5133    0.009    0.000    0.317    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/reshape/concat.py:707(_get_comb_axis)
    11682    0.030    0.000    0.317    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/frame.py:5242(_sanitize_column)
     5133    0.018    0.000    0.316    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/internals/concat.py:202(_maybe_reindex_columns_na_proxy)
    23576    0.202    0.000    0.314    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/dtypes/cast.py:1157(maybe_infer_to_datetimelike)
     5133    0.013    0.000    0.311    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/indexing.py:2632(check_bool_indexer)
    14407    0.032    0.000    0.309    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/indexes/base.py:6394(_should_compare)
     8319    0.018    0.000    0.309    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/internals/managers.py:421(astype)
    88529    0.278    0.000    0.306    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/numpy/core/_methods.py:67(_count_reduce_items)
